STRSZ=  0
STRSZ= join 1
STRSZ= suit 1
STRSZ= aid 1
STRSZ= seen 1
STRSZ= threats 1
STRSZ= beliefs 1
STRSZ= tumults 1
STRSZ= meant 1
STRSZ= monkeys 1
STRSZ= confused 1
STRSZ= misconception 1
STRSZ= nonetheless 1
STRSZ= period 1
STRSZ= complex 1
STRSZ= against 1
STRSZ= renes 1
STRSZ= descartes 1
STRSZ= paved 1
STRSZ= cannot 1
STRSZ= reason 1
STRSZ= pain 1
STRSZ= philosopher 1
STRSZ= infamous 1
STRSZ= quote 1
STRSZ= think 1
STRSZ= am 1
STRSZ= allow 1
STRSZ= room 1
STRSZ= ponderance 1
STRSZ= possessed 1
STRSZ= philosophical 1
STRSZ= package 1
STRSZ= floating 1
STRSZ= back 1
STRSZ= ones 1
STRSZ= imposed 1
STRSZ= articles 1
STRSZ= containing 1
STRSZ= process 1
STRSZ= presented 1
STRSZ= implicitly 1
STRSZ= explicitly 1
STRSZ= maybe 1
STRSZ= already-preconceived 1
STRSZ= notions 1
STRSZ= already 1
STRSZ= instilled 1
STRSZ= beforehand 1
STRSZ= extremely 1
STRSZ= difficult 1
STRSZ= share 1
STRSZ= brute 1
STRSZ= whom 1
STRSZ= lacks 1
STRSZ= emotional 1
STRSZ= drive 1
STRSZ= along 1
STRSZ= scarcity 1
STRSZ= meaning 1
STRSZ= enough 1
STRSZ= push 1
STRSZ= away 1
STRSZ= wanting 1
STRSZ= reserved 1
STRSZ= used 1
STRSZ= isolate 1
STRSZ= agree 1
STRSZ= decisions 1
STRSZ= modern 1
STRSZ= dispute 1
STRSZ= coincide 1
STRSZ= continuously 1
STRSZ= murder 1
STRSZ= species-based 1
STRSZ= field-mice 1
STRSZ= smell 1
STRSZ= urine 1
STRSZ= mouse 1
STRSZ= father 1
STRSZ= geese 1
STRSZ= support 1
STRSZ= herself 1
STRSZ= case 1
STRSZ= consciously 1
STRSZ= whose 1
STRSZ= committed 1
STRSZ= accounted 1
STRSZ= triggered 1
STRSZ= females 1
STRSZ= brain 1
STRSZ= her 1
STRSZ= aspect 1
STRSZ= left 1
STRSZ= openly 1
STRSZ= morality 1
STRSZ= underrated 1
STRSZ= big 1
STRSZ= directly 1
STRSZ= affected 1
STRSZ= nothing 1
STRSZ= new 1
STRSZ= explored 1
STRSZ= lyell 1
STRSZ= pointed 1
STRSZ= nature 1
STRSZ= tendency 1
STRSZ= populations 1
STRSZ= amount 1
STRSZ= food 1
STRSZ= water 1
STRSZ= remains 1
STRSZ= relatively 1
STRSZ= held 1
STRSZ= check 1
STRSZ= resource 1
STRSZ= availabilityeopa 1
STRSZ= ways 1
STRSZ= keep 1
STRSZ= environmental 1
STRSZ= destruction 1
STRSZ= all 1
STRSZ= pollution 1
STRSZ= excess 1
STRSZ= production 1
STRSZ= topic 1
STRSZ= fears 1
STRSZ= dichotomy 1
STRSZ= claimed-scientific 1
STRSZ= less 1
STRSZ= available 1
STRSZ= expected 1
STRSZ= unnatural 1
STRSZ= ending 1
STRSZ= preventing 1
STRSZ= lead 1
STRSZ= atrocious 1
STRSZ= basis 1
STRSZ= worry 1
STRSZ= negative 1
STRSZ= get 1
STRSZ= trigger 1
STRSZ= word 1
STRSZ= concern 1
STRSZ= different 1
STRSZ= alone 1
STRSZ= improve 1
STRSZ= touches 1
STRSZ= modern-day-matter 1
STRSZ= answer 1
STRSZ= everyone 1
STRSZ= culturally 1
STRSZ= headed 1
STRSZ= direction 1
STRSZ= choosing 1
STRSZ= own 1
STRSZ= preconception 1
STRSZ= members 1
STRSZ= scientifically-claimed-community 1
STRSZ= genitalia 1
STRSZ= obtained 1
STRSZ= problem 1
STRSZ= pertain 1
STRSZ= androgen 1
STRSZ= insensitivity 1
STRSZ= syndrome 1
STRSZ= accounts 1
STRSZ= approximately 1
STRSZ= peoplecrocetti 1
STRSZ= wolffian 1
STRSZ= structures 1
STRSZ= gonads 1
STRSZ= internally 1
STRSZ= while 1
STRSZ= secondary 1
STRSZ= characteristics 1
STRSZ= develop 1
STRSZ= externally 1
STRSZ= per 1
STRSZ= binary 1
STRSZ= easily 1
STRSZ= strange 1
STRSZ= role 1
STRSZ= separate 1
STRSZ= dysphoriacrocetti 1
STRSZ= route 1
STRSZ= peoples 1
STRSZ= mental 1
STRSZ= issues 1
STRSZ= recently 1
STRSZ= moved 1
STRSZ= point 1
STRSZ= considers 1
STRSZ= expressing 1
STRSZ= oneself 1
STRSZ= shackles 1
STRSZ= cisgendered 1
STRSZ= social 1
STRSZ= scrimmage 1
STRSZ= publicized 1
STRSZ= political 1
STRSZ= problems 1
STRSZ= loosely 1
STRSZ= altered 1
STRSZ= able 1
STRSZ= feeling 1
STRSZ= assigned 1
STRSZ= actual 1
STRSZ= physiologically 1
STRSZ= adjust 1
STRSZ= occurring 1
STRSZ= effort 1
STRSZ= currently 1
STRSZ= construction 1
STRSZ= far 1
STRSZ= soon 1
STRSZ= statement 1
STRSZ= making 1
STRSZ= arguments 1
STRSZ= main 1
STRSZ= spectrum 1
STRSZ= extreme 1
STRSZ= extrapolation 1
STRSZ= creation 1
STRSZ= snowflakes 1
STRSZ= heartless 1
STRSZ= confine 1
STRSZ= forcing 1
STRSZ= sign 1
STRSZ= wasnt 1
STRSZ= individual 1
STRSZ= through 1
STRSZ= chances 1
STRSZ= ran 1
STRSZ= random 1
STRSZ= said 1
STRSZ= stuck 1
STRSZ= condition 1
STRSZ= changes 1
STRSZ= isnt 1
STRSZ= anyone 1
STRSZ= determine 1
STRSZ= how 1
STRSZ= time-period 1
STRSZ= servants 1
STRSZ= often 1
STRSZ= owe 1
STRSZ= roster 1
STRSZ= sold 1
STRSZ= ruled 1
STRSZ= north 1
STRSZ= america 1
STRSZ= african 1
STRSZ= american 1
STRSZ= owed 1
STRSZ= slave-owners 1
STRSZ= country 1
STRSZ= sending 1
STRSZ= got 1
STRSZ= supplies 1
STRSZ= return 1
STRSZ= desire 1
STRSZ= children 1
STRSZ= irish 1
STRSZ= decent 1
STRSZ= alongside 1
STRSZ= black 1
STRSZ= fast-forwarding 1
STRSZ= modern- 1
STRSZ= repayment 1
STRSZ= dont 1
STRSZ= say 1
STRSZ= suffering 1
STRSZ= means 1
STRSZ= shows 1
STRSZ= reproduce 1
STRSZ= regardless 1
STRSZ= colour 1
STRSZ= evidence 1
STRSZ= exists 1
STRSZ= wish 1
STRSZ= segregation 1
STRSZ= reconstruction 1
STRSZ= itself 1
STRSZ= never 1
STRSZ= completely 1
STRSZ= stagnant 1
STRSZ= outside 1
STRSZ= continue 1
STRSZ= need 1
STRSZ= if 1
STRSZ= plan 1
STRSZ= survive 1
STRSZ= rest 1
STRSZ= taking 1
STRSZ= forward 1
STRSZ= obvious 1
STRSZ= attempt 1
STRSZ= working 1
STRSZ= teamwork 1
STRSZ= collective-thought 1
STRSZ= black-and-white 1
STRSZ= tumultuous 1
STRSZ= times 1
STRSZ= references 1
STRSZ= cited 1
STRSZ= n.d 1
STRSZ= chapter 1
STRSZ= rene 1
STRSZ= decartes 1
STRSZ= retrieved 1
STRSZ= april 1
STRSZ= http 1
STRSZ= www.animalethics.org.uk 1
STRSZ= descartes.html 1
STRSZ= crocetti 1
STRSZ= d 1
STRSZ= hormones 1
STRSZ= m 1
STRSZ= ah-king 1
STRSZ= ed 1
STRSZ= challenging 1
STRSZ= popular 1
STRSZ= myths 1
STRSZ= biologypp 1
STRSZ= - 1
STRSZ= switzerland 1
STRSZ= springer 1
STRSZ= international 1
STRSZ= jurmain 1
STRSZ= r 1
STRSZ= kilgore 1
STRSZ= l 1
STRSZ= trevathan 1
STRSZ= w 1
STRSZ= bartelink 1
STRSZ= e 1
STRSZ= j 1
STRSZ= essentials 1
STRSZ= physical 1
STRSZ= australia 1
STRSZ= cengage 1
STRSZ= learning 1
STRSZ= anthropology 2
STRSZ= line 2
STRSZ= renaissance 2
STRSZ= into 2
STRSZ= majority 2
STRSZ= mind 2
STRSZ= singular 2
STRSZ= slow 2
STRSZ= community 2
STRSZ= greatly 2
STRSZ= years 2
STRSZ= until 2
STRSZ= followed 2
STRSZ= cause 2
STRSZ= speculation 2
STRSZ= throughout 2
STRSZ= darwin 2
STRSZ= universe 2
STRSZ= location 2
STRSZ= planets 2
STRSZ= around 2
STRSZ= teaching 2
STRSZ= center 2
STRSZ= albeit 2
STRSZ= taught 2
STRSZ= society 2
STRSZ= challenged 2
STRSZ= out 2
STRSZ= intellectual 2
STRSZ= again 2
STRSZ= during 2
STRSZ= heavy 2
STRSZ= world 2
STRSZ= whole 2
STRSZ= towards 2
STRSZ= increase 2
STRSZ= types 2
STRSZ= fertile 2
STRSZ= offspring 2
STRSZ= class 2
STRSZ= them 2
STRSZ= specific 2
STRSZ= combination 2
STRSZ= became 2
STRSZ= form 2
STRSZ= then 2
STRSZ= written 2
STRSZ= stating 2
STRSZ= impact 2
STRSZ= environment 2
STRSZ= dynamic 2
STRSZ= lamarck 2
STRSZ= gain 2
STRSZ= despite 2
STRSZ= believed 2
STRSZ= rather 2
STRSZ= beginning 2
STRSZ= books 2
STRSZ= claims 2
STRSZ= scientists 2
STRSZ= given 2
STRSZ= charles 2
STRSZ= work 2
STRSZ= natural 2
STRSZ= selection 2
STRSZ= current 2
STRSZ= day 2
STRSZ= institutions 2
STRSZ= ancestors 2
STRSZ= descended 2
STRSZ= another 2
STRSZ= followers 2
STRSZ= causes 2
STRSZ= rightfully 2
STRSZ= thoughts 2
STRSZ= feel 2
STRSZ= animalethics 2
STRSZ= i 2
STRSZ= therefore 2
STRSZ= lack 2
STRSZ= autonomy 2
STRSZ= accept 2
STRSZ= sort 2
STRSZ= themselves 2
STRSZ= person 2
STRSZ= instance 2
STRSZ= argument 2
STRSZ= choice 2
STRSZ= action 2
STRSZ= ability 2
STRSZ= abort 2
STRSZ= male 2
STRSZ= destroy 2
STRSZ= hold 2
STRSZ= she 2
STRSZ= population 2
STRSZ= discussion 2
STRSZ= resources 2
STRSZ= overpopulation 2
STRSZ= sides 2
STRSZ= easy 2
STRSZ= believe 2
STRSZ= prescribed 2
STRSZ= determined 2
STRSZ= ais 2
STRSZ= genitals 2
STRSZ= follow 2
STRSZ= common 2
STRSZ= transgender 2
STRSZ= view 2
STRSZ= slippery-slope 2
STRSZ= two 2
STRSZ= unless 2
STRSZ= race 2
STRSZ= genes 2
STRSZ= color 2
STRSZ= treated 2
STRSZ= next 2
STRSZ= step 2
STRSZ= together 2
STRSZ= should 3
STRSZ= its 3
STRSZ= concepts 3
STRSZ= accepted 3
STRSZ= anything 3
STRSZ= at 3
STRSZ= these 3
STRSZ= over 3
STRSZ= origin 3
STRSZ= existence 3
STRSZ= now 3
STRSZ= which 3
STRSZ= come 3
STRSZ= everything 3
STRSZ= eopa 3
STRSZ= such 3
STRSZ= information 3
STRSZ= further 3
STRSZ= discussed 3
STRSZ= very 3
STRSZ= put 3
STRSZ= scientific 3
STRSZ= thinking 3
STRSZ= created 3
STRSZ= idea 3
STRSZ= we 3
STRSZ= considered 3
STRSZ= group 3
STRSZ= added 3
STRSZ= well 3
STRSZ= upon 3
STRSZ= animal 3
STRSZ= god 3
STRSZ= due 3
STRSZ= shared 3
STRSZ= without 3
STRSZ= concept 3
STRSZ= depending 3
STRSZ= part 3
STRSZ= known 3
STRSZ= fixity 3
STRSZ= believing 3
STRSZ= creature 3
STRSZ= beyond 3
STRSZ= conservative 3
STRSZ= make 3
STRSZ= fetus 3
STRSZ= child 3
STRSZ= when 3
STRSZ= chosen 3
STRSZ= may 3
STRSZ= past 3
STRSZ= size 3
STRSZ= fear 3
STRSZ= birth 3
STRSZ= sex 3
STRSZ= too 3
STRSZ= skin 3
STRSZ= slaves 3
STRSZ= white 3
STRSZ= always 4
STRSZ= many 4
STRSZ= whether 4
STRSZ= side 4
STRSZ= body 4
STRSZ= even 4
STRSZ= earth 4
STRSZ= copernicus 4
STRSZ= theory 4
STRSZ= did 4
STRSZ= would 4
STRSZ= liberal 4
STRSZ= because 4
STRSZ= any 4
STRSZ= compared 4
STRSZ= same 4
STRSZ= female 4
STRSZ= born 4
STRSZ= do 5
STRSZ= both 5
STRSZ= up 5
STRSZ= groups 5
STRSZ= pg 5
STRSZ= so 5
STRSZ= his 5
STRSZ= church 5
STRSZ= based 5
STRSZ= animals 5
STRSZ= change 5
STRSZ= other 5
STRSZ= human 5
STRSZ= does 5
STRSZ= between 6
STRSZ= each 6
STRSZ= evolution 6
STRSZ= religious 6
STRSZ= under 6
STRSZ= made 6
STRSZ= like 6
STRSZ= he 6
STRSZ= life 6
STRSZ= just 6
STRSZ= abortion 6
STRSZ= one 7
STRSZ= thought 7
STRSZ= who 7
STRSZ= will 7
STRSZ= individuals 7
STRSZ= fight 7
STRSZ= an 7
STRSZ= what 8
STRSZ= still 8
STRSZ= than 8
STRSZ= species 8
STRSZ= way 8
STRSZ= their 8
STRSZ= can 8
STRSZ= since 9
STRSZ= more 9
STRSZ= culture 10
STRSZ= has 10
STRSZ= been 10
STRSZ= humans 10
STRSZ= were 10
STRSZ= be 11
STRSZ= time 11
STRSZ= something 11
STRSZ= gender 11
STRSZ= science 12
STRSZ= though 12
STRSZ= being 12
STRSZ= have 13
STRSZ= some 13
STRSZ= or 14
STRSZ= much 15
STRSZ= was 16
STRSZ= are 17
STRSZ= there 18
STRSZ= people 18
STRSZ= from 18
STRSZ= they 19
STRSZ= with 19
STRSZ= by 19
STRSZ= on 19
STRSZ= for 20
STRSZ= had 20
STRSZ= it 20
STRSZ= as 26
STRSZ= this 26
STRSZ= but 27
STRSZ= not 31
STRSZ= in 33
STRSZ= a 39
STRSZ= and 43
STRSZ= is 52
STRSZ= that 52
STRSZ= to 61
STRSZ= of 79
STRSZ= the 135
STRPH= between culture  2
STRPH= between culture and  2
STRPH= culture and  2
STRPH= science and  2
STRPH= science and culture  2
STRPH= and culture  2
STRPH= in a  2
STRPH= of science  2
STRPH= science since  2
STRPH= since the  2
STRPH= the renaissance  2
STRPH= a majority  2
STRPH= a majority of  2
STRPH= a majority of the  2
STRPH= majority of  2
STRPH= majority of the  2
STRPH= have been  2
STRPH= that are  2
STRPH= as to whether  2
STRPH= to whether  2
STRPH= or not  2
STRPH= of each  2
STRPH= anything but  2
STRPH= at the  2
STRPH= but there  2
STRPH= a slow  2
STRPH= with religious  2
STRPH= had followed  2
STRPH= under much  2
STRPH= speculation and  2
STRPH= be the  2
STRPH= the origin  2
STRPH= the origin of  2
STRPH= origin of  2
STRPH= now there  2
STRPH= was the  2
STRPH= center of  2
STRPH= though it  2
STRPH= copernicus had  2
STRPH= copernicus had challenged  2
STRPH= had challenged  2
STRPH= much of  2
STRPH= was not  2
STRPH= very much  2
STRPH= since they  2
STRPH= they had  2
STRPH= since it  2
STRPH= of being  2
STRPH= put on  2
STRPH= of his  2
STRPH= during this  2
STRPH= during this time  2
STRPH= this time  2
STRPH= as a whole  2
STRPH= a whole  2
STRPH= was a  2
STRPH= had created  2
STRPH= of species  2
STRPH= fertile offspring  2
STRPH= species and  2
STRPH= species and the  2
STRPH= as they  2
STRPH= thought to  2
STRPH= the way  2
STRPH= the concept  2
STRPH= one of  2
STRPH= that animals  2
STRPH= of their  2
STRPH= depending on whether  2
STRPH= on whether  2
STRPH= known as  2
STRPH= rather than  2
STRPH= than evolution  2
STRPH= made by  2
STRPH= by charles  2
STRPH= religious institutions  2
STRPH= that humans  2
STRPH= to that  2
STRPH= to that of  2
STRPH= that of  2
STRPH= to have  2
STRPH= descended from  2
STRPH= from another  2
STRPH= followers of  2
STRPH= conservative religious  2
STRPH= conservative religious individuals  2
STRPH= religious individuals  2
STRPH= but it  2
STRPH= that time  2
STRPH= to make  2
STRPH= with this  2
STRPH= sort of  2
STRPH= to an  2
STRPH= is not something  2
STRPH= is not something that  2
STRPH= is not something that is  2
STRPH= not something  2
STRPH= not something that  2
STRPH= not something that is  2
STRPH= something that is  2
STRPH= is just  2
STRPH= for instance  2
STRPH= a more  2
STRPH= abortion is  2
STRPH= have the  2
STRPH= have the ability  2
STRPH= have the ability to  2
STRPH= the ability  2
STRPH= the ability to  2
STRPH= ability to  2
STRPH= to abort  2
STRPH= other than  2
STRPH= the child  2
STRPH= chosen by the  2
STRPH= the human  2
STRPH= the scientific  2
STRPH= as much  2
STRPH= part of  2
STRPH= but the  2
STRPH= as well  2
STRPH= sides of  2
STRPH= individuals fear  2
STRPH= fear that  2
STRPH= fight for  2
STRPH= can be  2
STRPH= for much  2
STRPH= an easy  2
STRPH= gender based  2
STRPH= gender based on  2
STRPH= believe that  2
STRPH= that gender  2
STRPH= prescribed from  2
STRPH= prescribed from birth  2
STRPH= from birth  2
STRPH= that it  2
STRPH= is known  2
STRPH= to follow  2
STRPH= in the past  2
STRPH= the past  2
STRPH= to change  2
STRPH= as though  2
STRPH= one is  2
STRPH= that this  2
STRPH= are made  2
STRPH= the two  2
STRPH= some on  2
STRPH= some on the  2
STRPH= this way  2
STRPH= this way of  2
STRPH= is something that  2
STRPH= but not  2
STRPH= because the  2
STRPH= is much  2
STRPH= is much more  2
STRPH= the next  2
STRPH= the next step  2
STRPH= next step  2
STRPH= not always  3
STRPH= there has  3
STRPH= there has been  3
STRPH= in what  3
STRPH= what is  3
STRPH= there are still  3
STRPH= are still  3
STRPH= much like  3
STRPH= much more  3
STRPH= did not  3
STRPH= that we  3
STRPH= and the  3
STRPH= the time  3
STRPH= they were  3
STRPH= due to  3
STRPH= due to the  3
STRPH= depending on  3
STRPH= people who were  3
STRPH= who were  3
STRPH= from the  3
STRPH= the people  3
STRPH= believing that  3
STRPH= beyond the  3
STRPH= being compared  3
STRPH= being compared to  3
STRPH= the same  3
STRPH= it is something  3
STRPH= people to  3
STRPH= it does  3
STRPH= it does not  3
STRPH= chosen by  3
STRPH= this is  3
STRPH= is still  3
STRPH= gender is  3
STRPH= though this  3
STRPH= the culture  3
STRPH= do not  4
STRPH= as to  4
STRPH= there is a  4
STRPH= to be  4
STRPH= by the  4
STRPH= the church  4
STRPH= that they  4
STRPH= with the  4
STRPH= of this  4
STRPH= compared to  4
STRPH= is something  4
STRPH= that is  5
STRPH= there is  5
STRPH= as a  5
STRPH= that the  5
STRPH= based on  5
STRPH= of a  5
STRPH= people who  5
STRPH= does not  5
STRPH= way of  5
STRPH= has been  6
STRPH= there are  6
STRPH= is a  6
STRPH= it was  6
STRPH= is not  6
STRPH= something that  6
STRPH= on the  7
STRPH= it is  7
STRPH= to the  8
STRPH= in the  10
STRPH= of the  15
